"EventId","Station","SampleDate","SampleTime","Longitude","CHLA","DIN","DO","DOC","DON","DOP","FCOLI_C","FSS","KD","NH4F","NO23F","NO2F","NO3F","PC","PH","PHEO","PN","PO4F","PP","SALINITY","SECCHI","SIF","SIGMA_T","SPCOND","TDN","TDP","TN","TON","TP","TSS","TURB_NTU","VSS","WTEMP"
422146,"TF5.5","2016-06-07","12:15:00",-77.23283,7.39,0.34,7.44,3.75,0.163,0.007,150,21,6.8728,0.036,0.304,0.008,0.296,1.16,7.23,1.77,0.164,0.013,0.0391,NA,0.2,3.785,NA,124,0.503,0.02,NA,NA,0.0591,24,33.1,3,26.82
422147,"TF5.5A","2016-03-15","12:30:00",-77.1284,6.18,0.501,9.42,NA,0.095,0.006,25,15,NA,0.069,0.432,0.01,0.422,0.814,7.28,3.19,0.06,0.01,0.03,NA,0.5,NA,NA,157,0.596,0.016,0.641,0.14,0.046,19,17.3,4,14.72
422148,"TF5.5A","2016-04-14","11:30:00",-77.1284,17.4,0.169,10.4,NA,0.15,0.006,25,9,NA,0.007,0.162,0.002,0.1605,1.12,7.8,9.66,0.317,0.003,0.029,NA,0.6,NA,NA,168,0.319,0.009,0.636,0.50675,NA,12,8.99,3,14.44
422149,"TF5.5A","2016-05-12","11:20:00",-77.1284,9.5,0.33,8.08,NA,0.28,0.011,25,12,NA,0.056,0.274,0.008,0.266,0.427,6.97,2.52,0.138,0.011,0.0259,0.03,0.5,NA,-1.50124,85,0.61,0.022,NA,NA,0.0479,17,15.7,5,18.96
422150,"TF5.5A","2016-06-07","11:45:00",-77.1284,44.5,0.191,7.85,NA,0.174,0.007,25,15,NA,0.013,0.178,0.008,0.17,2.12,7.68,14.9,0.357,0.004,0.0558,NA,0.3,NA,NA,143,0.365,0.011,0.722,0.531,NA,19,15.3,4,27.33
422151,"TF5.6","2016-03-15","11:50:00",-76.99057,3.12,0.504,9.76,NA,0.109,0.004,25,13,NA,0.07,0.434,0.008,0.426,0.726,7.12,2.4,0.06,0.014,0.0293,NA,0.4,NA,NA,133,0.613,0.018,0.658,0.154,0.0473,17,21.1,4,12.56
422152,"TF5.6","2016-04-14","11:05:00",-76.99057,14.8,0.222,10.05,NA,0.142,0.005,25,12,NA,0.012,0.21,0.002,0.208,0.953,7.62,8.34,0.141,0.006,0.0304,NA,0.5,NA,NA,175,0.364,0.011,NA,NA,NA,16,10.3,4,14.72
422153,"TF5.6","2016-05-12","10:40:00",-76.99057,4.16,0.364,7.53,NA,0.273,0.012,25,12,NA,0.07,0.294,0.012,0.282,0.332,6.91,2.54,0.109,0.012,0.0195,0.03,0.5,NA,-1.53069,92,0.637,0.024,NA,NA,0.0435,16,15.5,4,19.11
422154,"TF5.6","2016-06-07","11:20:00",-76.99057,26.6,0.133,6.7,NA,0.192,0.006,25,14,NA,0.025,0.108,0.005,0.103,1.61,7.47,15.1,0.287,0.006,0.0466,NA,0.6,NA,NA,130,0.325,0.012,NA,NA,NA,17,11.2,3,27.08
422884,"LE5.1","2016-07-06","10:20:00",-76.64833,8.24,0.062,6.41,NA,0.21,0.004,25,21,NA,0.007,0.055,0.002,0.053,1.17,7.46,6.86,0.175,0.023,0.041,0.9,0.5,NA,-2.82996,1792,0.269,0.027,0.444,NA,0.068,27,21.8,6,27.3
422885,"LE5.1","2016-08-02","10:35:00",-76.64833,4.61,0.066,6.05,NA,0.194,0.023,25,11,NA,0.02,0.046,0.004,0.042,0.497,7.39,2.44,0.091,0.029,0.0219,6.22,0.7,NA,0.08576,11037,0.26,0.052,NA,NA,0.0739,16,7.41,5,30.88
422886,"LE5.1","2016-09-07","10:10:00",-76.64833,6.09,0.068,7.33,NA,0.23,0.006,25,7,NA,0.003,0.065,0.047,0.018,0.348,7.62,1.21,0.06,0.037,0.0195,9.89,1.3,NA,4.20533,16895,0.301,0.043,NA,NA,0.0625,9,5.48,2,26.32
